rearm West,644.0,562.0,1.1459074733096086,1950,2009,60
rearm_VERB West,644.0,562.0,1.1459074733096086,1950,2009,60
rearm_VERB West_NOUN,641.0,559.0,1.1466905187835421,1950,2009,60
rearm West_NOUN,641.0,559.0,1.1466905187835421,1950,2009,60
rearming West,511.0,444.0,1.1509009009009008,1950,2009,60
rearming_VERB West,511.0,444.0,1.1509009009009008,1950,2009,60
rearming_VERB West_NOUN,506.0,439.0,1.152619589977221,1950,2009,60
rearming West_NOUN,506.0,439.0,1.152619589977221,1950,2009,60
rearmed_VERB Japan,645.0,537.0,1.2011173184357542,1950,2009,60
rearmed_VERB Japan_NOUN,645.0,537.0,1.2011173184357542,1950,2009,60
rearmed Japan_NOUN,685.0,550.0,1.2454545454545454,1950,2009,60
rearmed Japan,685.0,550.0,1.2454545454545454,1950,2009,60
requisite danger_NOUN,526.0,419.0,1.2553699284009547,1950,2009,60
requisite_ADJ danger_NOUN,526.0,419.0,1.2553699284009547,1950,2009,60
requisite_ADJ danger,526.0,419.0,1.2553699284009547,1950,2009,60
requisite danger,526.0,419.0,1.2553699284009547,1950,2009,60
repository_NOUN form_NOUN,395.0,289.0,1.3667820069204153,1950,2009,60
repository_NOUN form,409.0,299.0,1.3678929765886287,1950,2009,60
rescue_NOUN helicopter,6432.0,4366.0,1.4732020155748968,1950,2009,60
rescue_NOUN helicopter_NOUN,6432.0,4366.0,1.4732020155748968,1950,2009,60
rescue helicopter_NOUN,6443.0,4373.0,1.473359249942831,1950,2009,60
rescue helicopter,6443.0,4373.0,1.473359249942831,1950,2009,60
repository form_NOUN,641.0,430.0,1.4906976744186047,1950,2009,60
repository form,655.0,438.0,1.495433789954338,1950,2009,60
Respondent Selection_NOUN,592.0,385.0,1.5376623376623377,1950,2009,60
Respondent Selection,595.0,385.0,1.5454545454545454,1950,2009,60
retirement counseling_NOUN,1781.0,1112.0,1.6016187050359711,1950,2009,60
resonance_NOUN signals,3283.0,1773.0,1.8516638465877044,1950,2009,60
resonance signals,3418.0,1845.0,1.8525745257452575,1950,2009,60
resonance_NOUN signals_NOUN,3280.0,1770.0,1.8531073446327684,1950,2009,60
resonance signals_NOUN,3415.0,1842.0,1.8539630836047774,1950,2009,60
reactor_NOUN theory_NOUN,1856.0,782.0,2.373401534526854,1950,2009,60
reactor_NOUN theory,1856.0,782.0,2.373401534526854,1950,2009,60
reactor theory,2091.0,872.0,2.397935779816514,1950,2009,60
reactor theory_NOUN,2091.0,872.0,2.397935779816514,1950,2009,60
response plot_NOUN,3457.0,1325.0,2.6090566037735847,1950,2009,60
response plot,3457.0,1325.0,2.6090566037735847,1950,2009,60
repulsive core_NOUN,2698.0,872.0,3.0940366972477062,1950,2009,60
repulsive_ADJ core_NOUN,2698.0,872.0,3.0940366972477062,1950,2009,60
repulsive_ADJ core,2712.0,876.0,3.095890410958904,1950,2009,60
repulsive core,2712.0,876.0,3.095890410958904,1950,2009,60
Rehabilitation_NOUN Nursing_NOUN,5287.0,1583.0,3.339861023373342,1950,2009,60
Rehabilitation Nursing_NOUN,5339.0,1593.0,3.351537978656623,1950,2009,60
real_ADJ Banach,3538.0,996.0,3.5522088353413657,1950,2009,60
real Banach,3538.0,996.0,3.5522088353413657,1950,2009,60
Red_NOUN Channels,6347.0,1644.0,3.860705596107056,1950,2009,60
Red_NOUN Channels_NOUN,6347.0,1644.0,3.860705596107056,1950,2009,60
Restricted Stock_NOUN,6482.0,1513.0,4.284203569068077,1950,2009,60
Restricted Stock,6488.0,1513.0,4.288169200264376,1950,2009,60
Red Channels,9300.0,2062.0,4.510184287099903,1950,2009,60

